Councils,Type,Months,Years,ESB_Connections
Carlow,County,Jan,2006,70
Cavan,County,Jan,2006,149
Clare,County,Jan,2006,171
Cork,County,Jan,2006,588
Donegal,County,Jan,2006,285
Dun Laoghaire,County,Jan,2006,241
Fingal,County,Jan,2006,305
Galway,County,Jan,2006,324
Kerry,County,Jan,2006,226
Kildare,County,Jan,2006,413
Kilkenny,County,Jan,2006,128
Laois,County,Jan,2006,234
Leitrim,County,Jan,2006,153
Limerick,County,Jan,2006,149
Longford,County,Jan,2006,89
Louth,County,Jan,2006,117
Mayo,County,Jan,2006,253
Meath,County,Jan,2006,313
Monaghan,County,Jan,2006,107
North Tipperary,County,Jan,2006,96
Offaly,County,Jan,2006,91
Roscommon,County,Jan,2006,162
Sligo,County,Jan,2006,155
South Dublin,County,Jan,2006,562
South Tipperary,County,Jan,2006,85
Waterford,County,Jan,2006,78
Westmeath,County,Jan,2006,132
Wexford,County,Jan,2006,183
Wicklow,County,Jan,2006,213
Carlow,County,Feb,2006,81
Cavan,County,Feb,2006,208
Clare,County,Feb,2006,251
Cork,County,Feb,2006,615
Donegal,County,Feb,2006,450
Dun Laoghaire,County,Feb,2006,172
Fingal,County,Feb,2006,566
Galway,County,Feb,2006,404
Kerry,County,Feb,2006,259
Kildare,County,Feb,2006,335
Kilkenny,County,Feb,2006,122
Laois,County,Feb,2006,214
Leitrim,County,Feb,2006,86
Limerick,County,Feb,2006,137
Longford,County,Feb,2006,91
Louth,County,Feb,2006,164
Mayo,County,Feb,2006,186
Meath,County,Feb,2006,312
Monaghan,County,Feb,2006,95
North Tipperary,County,Feb,2006,111
Offaly,County,Feb,2006,176
Roscommon,County,Feb,2006,160
Sligo,County,Feb,2006,125
South Dublin,County,Feb,2006,219
South Tipperary,County,Feb,2006,132
Waterford,County,Feb,2006,126
Westmeath,County,Feb,2006,147
Wexford,County,Feb,2006,236
Wicklow,County,Feb,2006,142
Carlow,County,Mar,2006,113
Cavan,County,Mar,2006,197
Clare,County,Mar,2006,264
Cork,County,Mar,2006,676
Donegal,County,Mar,2006,342
Dun Laoghaire,County,Mar,2006,260
Fingal,County,Mar,2006,550
Galway,County,Mar,2006,400
Kerry,County,Mar,2006,260
Kildare,County,Mar,2006,335
Kilkenny,County,Mar,2006,119
Laois,County,Mar,2006,111
Leitrim,County,Mar,2006,160
Limerick,County,Mar,2006,146
Longford,County,Mar,2006,83
Louth,County,Mar,2006,131
Mayo,County,Mar,2006,335
Meath,County,Mar,2006,286
Monaghan,County,Mar,2006,129
North Tipperary,County,Mar,2006,144
Offaly,County,Mar,2006,109
Roscommon,County,Mar,2006,237
Sligo,County,Mar,2006,233
South Dublin,County,Mar,2006,317
South Tipperary,County,Mar,2006,109
Waterford,County,Mar,2006,136
Westmeath,County,Mar,2006,140
Wexford,County,Mar,2006,276
Wicklow,County,Mar,2006,179
Carlow,County,Apr,2006,56
Cavan,County,Apr,2006,261
Clare,County,Apr,2006,200
Cork,County,Apr,2006,554
Donegal,County,Apr,2006,217
Dun Laoghaire,County,Apr,2006,138
Fingal,County,Apr,2006,481
Galway,County,Apr,2006,348
Kerry,County,Apr,2006,248
Kildare,County,Apr,2006,363
Kilkenny,County,Apr,2006,125
Laois,County,Apr,2006,151
Leitrim,County,Apr,2006,122
Limerick,County,Apr,2006,204
Longford,County,Apr,2006,144
Louth,County,Apr,2006,130
Mayo,County,Apr,2006,234
Meath,County,Apr,2006,257
Monaghan,County,Apr,2006,220
North Tipperary,County,Apr,2006,64
Offaly,County,Apr,2006,102
Roscommon,County,Apr,2006,134
Sligo,County,Apr,2006,170
South Dublin,County,Apr,2006,181
South Tipperary,County,Apr,2006,120
Waterford,County,Apr,2006,123
Westmeath,County,Apr,2006,116
Wexford,County,Apr,2006,337
Wicklow,County,Apr,2006,132
Carlow,County,May,2006,97
Cavan,County,May,2006,201
Clare,County,May,2006,242
Cork,County,May,2006,702
Donegal,County,May,2006,365
Dun Laoghaire,County,May,2006,251
Fingal,County,May,2006,484
Galway,County,May,2006,307
Kerry,County,May,2006,247
Kildare,County,May,2006,476
Kilkenny,County,May,2006,154
Laois,County,May,2006,169
Leitrim,County,May,2006,99
Limerick,County,May,2006,170
Longford,County,May,2006,90
Louth,County,May,2006,233
Mayo,County,May,2006,194
Meath,County,May,2006,414
Monaghan,County,May,2006,103
North Tipperary,County,May,2006,88
Offaly,County,May,2006,110
Roscommon,County,May,2006,195
Sligo,County,May,2006,191
South Dublin,County,May,2006,271
South Tipperary,County,May,2006,113
Waterford,County,May,2006,157
Westmeath,County,May,2006,147
Wexford,County,May,2006,388
Wicklow,County,May,2006,182
Carlow,County,Jun,2006,125
Cavan,County,Jun,2006,248
Clare,County,Jun,2006,324
Cork,County,Jun,2006,602
Donegal,County,Jun,2006,439
Dun Laoghaire,County,Jun,2006,278
Fingal,County,Jun,2006,399
Galway,County,Jun,2006,368
Kerry,County,Jun,2006,417
Kildare,County,Jun,2006,370
Kilkenny,County,Jun,2006,114
Laois,County,Jun,2006,176
Leitrim,County,Jun,2006,194
Limerick,County,Jun,2006,196
Longford,County,Jun,2006,83
Louth,County,Jun,2006,168
Mayo,County,Jun,2006,230
Meath,County,Jun,2006,337
Monaghan,County,Jun,2006,101
North Tipperary,County,Jun,2006,148
Offaly,County,Jun,2006,106
Roscommon,County,Jun,2006,162
Sligo,County,Jun,2006,158
South Dublin,County,Jun,2006,356
South Tipperary,County,Jun,2006,107
Waterford,County,Jun,2006,117
Westmeath,County,Jun,2006,138
Wexford,County,Jun,2006,217
Wicklow,County,Jun,2006,132
Carlow,County,Jul,2006,158
Cavan,County,Jul,2006,308
Clare,County,Jul,2006,195
Cork,County,Jul,2006,702
Donegal,County,Jul,2006,350
Dun Laoghaire,County,Jul,2006,134
Fingal,County,Jul,2006,488
Galway,County,Jul,2006,470
Kerry,County,Jul,2006,375
Kildare,County,Jul,2006,510
Kilkenny,County,Jul,2006,111
Laois,County,Jul,2006,168
Leitrim,County,Jul,2006,130
Limerick,County,Jul,2006,253
Longford,County,Jul,2006,85
Louth,County,Jul,2006,279
Mayo,County,Jul,2006,273
Meath,County,Jul,2006,311
Monaghan,County,Jul,2006,75
North Tipperary,County,Jul,2006,121
Offaly,County,Jul,2006,108
Roscommon,County,Jul,2006,144
Sligo,County,Jul,2006,209
South Dublin,County,Jul,2006,158
South Tipperary,County,Jul,2006,118
